id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
109,0.928,0.32,0.096,0.896,0.096,0.032,0.904752136752137,0.28854700854700854,0.06892307692307698,0.0002034684783402739,0.00038479479874351663,0.00015080604865220262,Stand Still,0,1521641348.1309998,4.979000091552734
110,0.928,0.32,0.096,0.896,0.096,0.032,0.9009230769230772,0.2937435897435899,0.07603418803418809,0.00013330177514792944,0.000518395792241946,0.0002577766089560964,Stand Still,0,1521641350.6309998,4.999000310897827
111,0.928,0.32,0.128,0.896,0.256,0.064,0.9016949152542375,0.29830508474576267,0.07918644067796615,0.00014980522838264895,0.00024092387245044545,0.00027269405343292207,Stand Still,0,1521641353.1309998,4.9590003490448
112,0.928,0.32,0.128,0.896,0.256,0.064,0.9012869565217396,0.29690434782608693,0.08125217391304354,0.0001412306994328929,0.00022346041587901713,0.00027224075614366676,Stand Still,0,1521641355.6309998,4.94100022315979
113,0.928,0.32,0.096,0.896,0.096,0.064,0.8992820512820517,0.29538461538461547,0.08259829059829066,9.425378040762685e-05,0.0005493648915187381,0.0002492488859668346,Stand Still,0,1521641358.1309998,4.981000185012817
114,0.928,0.32,0.096,0.896,0.096,0.064,0.8995254237288139,0.295322033898305,0.08081355932203395,0.00010038494685435239,0.00054516748060902,0.00025533812122953225,Stand Still,0,1521641360.6309998,4.94100022315979
115,0.928,0.32,0.096,0.896,0.288,0.064,0.8989830508474581,0.2988474576271187,0.07538983050847463,8.655903476012636e-05,0.00022945130709566304,0.00023474633725940785,Stand Still,0,1521641363.1309998,4.981000185012817
116,0.928,0.32,0.096,0.896,0.288,0.064,0.8995254237288139,0.3018305084745763,0.06969491525423734,0.00010038494685435239,0.0002512933065211148,0.00014980522838264855,Stand Still,0,1521641365.6309998,4.9830002784729
117,0.928,0.32,0.096,0.896,0.288,0.064,0.9014700854700858,0.3000341880341879,0.06947008547008551,0.00014512089999269516,0.00024027233545182255,0.0001451208999926948,Stand Still,0,1521641368.1309998,4.963000297546387
118,0.928,0.32,0.096,0.896,0.288,0.064,0.9024646464646467,0.29381818181818203,0.07111111111111117,0.0001650770329558212,0.00015233057851239722,0.00017698765432098756,Stand Still,0,1521641370.6309998,4.363000154495239
123,3.712,2.944,4.064,-0.192,-0.64,-2.688,0.934193548387096,0.5350537634408595,0.3430537634408604,0.21064138189386086,0.2616015132385245,0.5178217282922882,Fall with Wiggling Hands,1,1521641940.2489998,4.54800009727478
124,1.248,1.344,0.64,-0.416,0.064,-0.128,0.8494883720930235,0.35237209302325606,0.14697674418604662,0.09167555219037318,0.034684884802596,0.01698834829637642,Fall with Wiggling Hands,1,1521641950.7259998,4.960000276565552
125,4.064,1.92,4.064,-0.64,-0.224,-1.152,0.8823466666666662,0.5674666666666665,0.31786666666666685,0.5256307598222223,0.17946851555555565,0.3378198755555554,Fall with Wiggling Hands,1,1521641953.2259998,4.570000171661377
126,3.968,1.824,2.592,-0.288,0.0,-1.344,0.9039058823529409,0.37270588235294144,0.2887529411764707,0.2817302499653979,0.07261258408304498,0.287635009550173,Fall with Wiggling Hands,1,1521641965.786,4.999000072479248
127,3.968,1.824,2.592,-0.288,0.0,-1.344,0.7941149425287353,0.37186206896551743,0.5108965517241381,0.31142614770775506,0.07283915338882291,0.2924743686087992,Fall with Wiggling Hands,1,1521641968.286,4.5309998989105225
128,2.08,1.472,1.376,0.384,0.192,-0.192,0.9276404494382015,0.4828764044943822,0.06328089887640449,0.08073479207170811,0.03968610831965661,0.051590673904809994,Try to Keep Balance,0,1521642021.814,4.940000295639038
129,2.08,1.472,1.376,-0.128,0.064,-0.192,0.8878297872340419,0.4977021276595743,0.22331914893617033,0.19996184336803974,0.07448220914440921,0.07714813218650979,Try to Keep Balance,0,1521642024.314,4.980000257492065
130,1.12,1.184,0.672,-0.64,-0.096,-0.128,0.6241839080459772,0.3711264367816094,0.11806896551724144,0.27588851790196844,0.06976052424362532,0.03216325961157353,Try to Keep Balance,0,1521642062.6339998,4.980000257492065
131,2.304,1.216,0.736,-0.672,-0.096,-0.192,0.2587428571428571,0.4530285714285717,0.2797714285714288,0.5018402481632652,0.1463628277551021,0.04876246204081635,Try to Keep Balance,0,1521642065.1339998,4.960000276565552
132,2.72,1.216,0.736,-0.672,0.032,-0.192,0.564825396825397,0.4540952380952384,0.35555555555555574,0.5652206520534139,0.0780794195011338,0.04902558024691357,Try to Keep Balance,0,1521642067.6339998,4.339000225067139
133,3.744,0.896,0.576,-0.416,0.096,-0.512,0.8956190476190478,0.3969523809523811,0.1074285714285715,0.43211566439909294,0.017191473922902496,0.014034721088435374,Try to Keep Balance,0,1521642098.629,4.920000076293945
134,3.744,1.28,0.832,-0.416,0.096,-0.512,0.9196065573770492,0.5099016393442626,0.2428852459016395,0.9715880419242138,0.07295140016124697,0.07864242945444776,Try to Keep Balance,0,1521642101.129,4.940000057220459
135,2.528,1.504,0.832,-0.256,0.128,-0.576,0.9481481481481476,0.5463703703703706,0.24533333333333343,0.5605184965706447,0.10140830727023317,0.1334992592592593,Try to Keep Balance,0,1521642103.629,4.240000009536743
136,3.36,2.144,0.48,-0.736,0.032,-0.896,0.86465306122449,0.5133061224489794,-0.032979591836734684,0.4745295326947105,0.14960678384006668,0.05187822407330281,Try to Keep Balance,0,1521642153.605,4.980000019073486
137,3.616,2.144,0.672,-0.768,0.032,-0.896,0.8656666666666669,0.7869999999999995,0.046333333333333344,1.0464505555555563,0.17050833333333335,0.13926122222222226,Try to Keep Balance,0,1521642156.105,4.980999946594238
138,3.616,1.664,0.672,-0.768,0.064,-0.96,0.8692244897959186,0.726530612244897,0.15510204081632656,1.0607740108288213,0.10955147355268635,0.13649192836318197,Try to Keep Balance,0,1521642158.605,4.960999965667725
