id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
53,0.608,-0.384,0.736,-0.864,-2.464,-0.096,0.07138461538461541,-0.9329230769230763,0.176879120879121,0.02973148943364328,0.06515167540152156,0.03977487549812824,Go Down Stairs,0
54,0.608,-0.384,0.736,-0.864,-2.464,-0.224,0.10392380952380958,-0.9148952380952372,0.26209523809523827,0.03198353705215422,0.07200563664399098,0.027308524263038553,Go Down Stairs,0
55,0.512,-0.448,0.48,-0.384,-1.728,-0.256,0.09483636363636369,-0.9242181818181816,0.21585454545454558,0.025598645950413227,0.052442425123966956,0.022778160661157027,Go Down Stairs,0
56,0.672,-0.448,0.64,-0.448,-1.92,-0.256,0.06796190476190478,-0.9508571428571421,0.18133333333333346,0.033152150929705235,0.07292273197278906,0.02964073650793649,Go Down Stairs,0
57,0.672,-0.672,0.64,-0.448,-1.92,-0.192,0.016987654320987654,-0.968691358024691,0.0963950617283951,0.023010580094497784,0.045814830666056995,0.02691460935832953,Go Down Stairs,0
58,0.672,-0.32,1.12,-0.16,-1.184,-0.256,0.12605217391304357,-0.9043478260869559,0.15193043478260876,0.024883858147448024,0.029599600756143662,0.07379644733459355,Go Up Stairs,0
59,0.672,-0.32,1.216,-0.16,-1.184,-0.256,0.14657142857142863,-0.844857142857143,0.2780000000000002,0.03775338775510205,0.04980040816326531,0.12847599999999998,Go Up Stairs,0
60,0.64,-0.288,1.376,-0.16,-1.184,-0.224,0.12342857142857148,-0.8437142857142853,0.29228571428571437,0.02841338775510201,0.04485477551020407,0.12727763265306127,Go Up Stairs,0
61,0.736,-0.288,1.472,-0.224,-1.344,-0.224,0.09103448275862072,-0.8822068965517234,0.23062068965517252,0.026546378121284183,0.03594988822829968,0.12251837336504158,Go Up Stairs,0
62,0.832,-0.192,1.472,-0.224,-1.344,-0.256,0.11545098039215693,-0.8771764705882348,0.25976470588235306,0.030783384851979997,0.045544968858131474,0.12965233679354085,Go Up Stairs,0
63,0.832,-0.192,1.216,-0.096,-1.28,-0.256,0.10262068965517245,-0.8904827586206892,0.1463908045977012,0.022531246928260005,0.03755153705905674,0.11218407715682377,Go Up Stairs,0
64,0.256,-0.576,0.48,-0.224,-1.248,-0.128,0.03642553191489363,-0.9385531914893614,0.12527659574468095,0.007987223177908554,0.007045736532367586,0.019971476686283383,Go Down Stairs,0
65,0.32,-0.576,0.864,-0.224,-1.632,-0.128,0.05313207547169813,-0.9304150943396218,0.23033962264150962,0.015995397650409415,0.020474167319330716,0.02207241295834817,Go Down Stairs,0
66,0.32,-0.672,0.864,-0.224,-1.824,-0.128,0.055779816513761495,-0.922422018348623,0.21900917431192676,0.016241272620149835,0.02562525309317397,0.0253684127598687,Go Down Stairs,0
67,0.384,-0.672,0.544,-0.32,-1.824,-0.256,0.03773584905660378,-0.9258867924528295,0.1702641509433963,0.01978053399786401,0.03996051548593803,0.02495366607333571,Go Down Stairs,0
68,0.416,-0.672,0.512,-0.48,-1.824,-0.256,0.037052631578947365,-0.9381052631578943,0.12261052631578954,0.026307439335180056,0.05075295734072026,0.03420489041551247,Go Down Stairs,0
69,0.416,-0.672,0.512,-0.48,-1.824,-0.256,0.01745454545454545,-0.9487272727272716,-0.016000000000000042,0.01454333884297518,0.024763107438016428,0.02957963636363647,Go Down Stairs,0
70,0.672,-0.288,1.312,-0.128,-1.248,-0.224,0.07779816513761469,-0.9059816513761464,0.13064220183486244,0.026311482198468128,0.027351082232135348,0.08079507381533542,Go Up Stairs,0
71,0.672,-0.288,1.504,-0.128,-1.312,-0.224,0.13100854700854705,-0.8631794871794864,0.25654700854700874,0.03147238454233326,0.04872247205785669,0.12238958112352988,Go Up Stairs,0
72,0.576,-0.288,1.504,-0.128,-1.312,-0.192,0.11618018018018024,-0.8648648648648647,0.27041441441441455,0.022840327895463017,0.04528588263939615,0.10822552195438678,Go Up Stairs,0
73,0.576,-0.256,1.44,-0.128,-1.216,-0.16,0.1289142857142858,-0.8484571428571422,0.2901333333333335,0.022692954557823122,0.045974952925170114,0.10460923936507942,Go Up Stairs,0
74,0.928,-0.128,1.984,-0.16,-1.696,-0.192,0.11074509803921576,-0.8508235294117631,0.255686274509804,0.02956893502499035,0.0626317139561708,0.13790860745866987,Go Up Stairs,0
75,0.32,-0.8,0.64,-0.128,-1.184,0,0.029890109890109907,-0.9455824175824175,0.13573626373626382,0.004519152759328584,0.002346506943605844,0.028702172201424948,Go Down Stairs,0
76,0.32,-0.544,0.64,-0.416,-1.568,0,0.05714285714285717,-0.920285714285714,0.27114285714285735,0.011802122448979597,0.015657061224489805,0.03337069387755104,Go Down Stairs,0
77,0.384,-0.544,0.672,-0.416,-1.568,-0.032,0.09192727272727279,-0.9061818181818176,0.3136000000000001,0.017577594710743803,0.029769203305785114,0.028873076363636355,Go Down Stairs,0
78,0.544,-0.576,0.672,-0.256,-1.952,-0.16,0.07712000000000002,-0.9369599999999996,0.23456000000000019,0.022960025600000003,0.05976227839999998,0.033465446399999974,Go Down Stairs,0
79,0.544,-0.608,0.544,-0.64,-2.368,-0.256,0.03914893617021277,-0.9576170212765953,0.1426382978723405,0.026801658669081043,0.07920181077410597,0.03378469895880488,Go Down Stairs,0
80,0.416,-0.672,0.544,-0.64,-2.368,-0.256,0.02232558139534884,-0.9525581395348826,0.039069767441860456,0.016099893996755012,0.038427967550027115,0.029515041644131934,Go Down Stairs,0
81,0.928,-0.128,0.896,-0.736,-2.528,-0.512,-0.0005470085470085451,-0.9785982905982901,0.059623931623931606,0.04757631616626487,0.137220189056907,0.057272337205055146,Run-Flat Ground,0
82,0.928,-0.128,0.896,-0.736,-2.528,-1.152,-0.005423728813559323,-0.9830508474576264,0.09925423728813564,0.08374766791151968,0.20995272622809535,0.09188907095662162,Run-Flat Ground,0
83,0.928,0.096,1.216,-0.864,-2.336,-1.152,0.010181818181818183,-0.9538909090909088,0.08727272727272727,0.06769443966942154,0.20654071537190097,0.09009168925619837,Run-Flat Ground,0
84,0.64,0.096,1.216,-0.992,-2.4,-0.736,0.00034408602150537096,-0.9689462365591397,0.1345376344086022,0.06931256977685285,0.21410112614175036,0.09798599051913515,Run-Flat Ground,0
