uid,x,y,z,timeStamp,time,activity,activityID,isFall
a0:e6:f8:00:00:c2,-0.896,-0.32,0.096,1521638759,2018-03-21 13:25:59,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.352,0.096,1521638759,2018-03-21 13:25:59,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.32,0.096,1521638759,2018-03-21 13:25:59,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.32,0.128,1521638759,2018-03-21 13:25:59,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.288,0.096,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.288,0.128,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.288,0.128,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.288,0.128,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.32,0.096,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.32,0.096,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.32,0.128,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.288,0.128,1521638760,2018-03-21 13:26:00,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.288,0.128,1521638761,2018-03-21 13:26:01,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.288,0.096,1521638761,2018-03-21 13:26:01,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.288,0.096,1521638761,2018-03-21 13:26:01,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.288,0.096,1521638761,2018-03-21 13:26:01,Walk on flat ground,1,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.864,0.256,0.064,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.256,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.032,-0.928,0.256,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.032,-0.928,0.256,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.256,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.96,0.224,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.96,0.256,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.224,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
